"filename","category","tags"
"delivery-truck","Transport","ship,semitruck,shipment,amazon,shipping,parcel,courier,package,delivery,vehicle,cargo"
"depth","Science","lab,research,experiment,study"
"design-nib","Design Tools","draw,sketch,prototype,ui"
"design-pencil","Design Tools","draw,sketch,prototype,ui"
"desk","Home","house,domestic,appliance,interior"
"developer","Development","code,dev,programming,software"
"dew-point","Weather","forecast,climate,rain,sun,anchor,handle,node,bezier"
"dialpad","Other","misc,general,utility,ui"
"diameter","Science","lab,research,experiment,study"
"dice-five","Gaming","random,game,chance,roll"
"dice-four","Gaming","random,game,chance,roll"
"dice-one","Gaming","random,game,chance,roll"
"dice-six","Gaming","random,game,chance,roll"
"dice-three","Gaming","random,game,chance,roll,3,triple,triangle,menu"
"dice-two","Gaming","random,game,chance,roll,2,double,pair,both"
"dimmer-switch","Home","light,intensity,setting,house,device,remote,controller,domestic,appliance,interior"
"director-chair","Home","movie,cinema,hollywood,film,filming,house,domestic,appliance,interior"
"discord","Social","chat,gaming,voice,community"
"dishwasher","Home","house,domestic,appliance,interior"
"display-4k","Devices","hardware,gadget,electronics,tech"
"divide","Navigation","menu,move,ui,wayfinding"
"divide-three","Navigation","3,triple,triangle,menu"
"dna","Science","genetics,biology,science,helix"
"doc-magnifying-glass","Docs","search,lens,magnify,look"
"doc-magnifying-glass-in","Docs","search,lens,magnify,look"
"doc-star","Docs","favorite,rating,review,bookmark"
"doc-star-in","Docs","favorite,rating,review,bookmark"
"dogecoin-circle","Finance","round,radio,dot,shape"
"dogecoin-rotate-out","Finance","spin,turn,orientation,pivot"
"dollar","Finance","money,usd,currency,cash"
"dollar-circle","Finance","money,usd,currency,cash,round,radio,dot,shape"
"domotic-warning","Home","alert,caution,danger,attention"
"donate","Health","charity,gift,support,heart"
"dot-arrow-down","Animations","direction,navigate,pointer,chevron,move"
"dot-arrow-left","Animations","direction,navigate,pointer,chevron,move"
"dot-arrow-right","Animations","direction,navigate,pointer,chevron,move"
"dot-arrow-up","Animations","direction,navigate,pointer,chevron,move"
"double-check","Actions","done,success,tick,approve,ok,complete"
"download","Actions","save,import,fetch,get,file"
"download-circle","Actions","save,import,fetch,get,file,round,radio,dot,shape"
"download-data-window","System","browser,os,save,import,fetch,get,file"
"download-square","Actions","save,import,fetch,get,file,shape,box,checkbox,region"
"drag","Navigation","move,grab,gesture,pan"
"drag-hand-gesture","Gestures","move,grab,gesture,pan,touch,swipe,hand,mobile"
"drawer","Home","house,domestic,appliance,interior"
"dribbble","Social","social,design,designers,network,share,community,people"
"drone","Transport","air,device,fly,quadcopter,uav,remote"
"drone-charge-full","Transport","air,device,fly,quadcopter,uav,remote"
"drone-charge-half","Transport","air,device,fly,quadcopter,uav,remote"
"drone-charge-low","Transport","air,device,fly,quadcopter,uav,remote"
"drone-check","Transport","air,device,fly,quadcopter,uav,remote,done,success,tick,approve,ok,complete"
"drone-landing","Transport","air,device,fly,quadcopter,uav,remote"
"drone-refresh","Transport","air,device,fly,quadcopter,uav,remote,reload,update,sync,rotate"
"drone-take-off","Transport","air,device,fly,quadcopter,uav,remote,disabled,inactive,muted,disconnected"
"drone-xmark","Transport","air,device,fly,error,issue,quadcopter,uav,remote,close,cancel,delete,remove,dismiss,clear,wrong"
"droplet","Design Tools","design,creative,layout,figma"
"droplet-check","Nature","check,safe,water,clean,pure,done,success,tick,approve,ok,complete"
"droplet-half","Design Tools","design,creative,layout,figma"
"ease-curve-control-points","Animations","bezier,spline,path,smooth,easing,curve,interpolation,css,tween,slider,handle,adjust,parameter"
"ease-in","Animations","easing,curve,bezier,interpolation,css,tween"
"ease-in-control-point","Animations","easing,curve,bezier,interpolation,css,tween,slider,handle,adjust,parameter,anchor,node"
"ease-in-out","Animations","easing,curve,bezier,interpolation,css,tween"
"ease-out","Animations","easing,curve,bezier,interpolation,css,tween"
"ease-out-control-point","Animations","easing,curve,bezier,interpolation,css,tween,slider,handle,adjust,parameter,anchor,node"
"ecology-book","Nature","clean,environment,nature,read,education,library,learn"
"edit","Editor","text,writing,format,content"
"edit-pencil","Editor","text,writing,format,content"
"egg","Food","meal,restaurant,cooking,kitchen"
"eject","System","disk,compact,player,vhs,cassette,tape,remove,computer,os,settings,desktop"
"electronics-chip","Development","code,dev,programming,software"
"electronics-transistor","Development","code,dev,programming,software"
"elevator","Buildings","architecture,city,place,urban"
"ellipse-3d","3D Editor","modeling,blender,4d,3d,mesh,render"
"ellipse-3d-three-points","3D Editor","modeling,blender,4d,3,triple,triangle,menu"
"emoji","Emojis","emotion,face,reaction,sticker"
"emoji-ball","Emojis","emotion,face,reaction,sticker"
"emoji-blink-left","Emojis","emotion,face,reaction,sticker"
"emoji-blink-right","Emojis","emotion,face,reaction,sticker"
"emoji-look-down","Emojis","emotion,face,reaction,sticker"
"emoji-look-left","Emojis","emotion,face,reaction,sticker"
"emoji-look-right","Emojis","emotion,face,reaction,sticker"
"emoji-look-up","Emojis","emotion,face,reaction,sticker"
"emoji-puzzled","Emojis","emotion,face,reaction,sticker"
"emoji-quite","Emojis","emotion,face,reaction,sticker"
"emoji-really","Emojis","emotion,face,reaction,sticker"
"emoji-sad","Emojis","emotion,face,reaction,sticker"
"emoji-satisfied","Emojis","emotion,face,reaction,sticker"
"emoji-sing-left","Emojis","emotion,face,reaction,sticker"
"emoji-sing-left-note","Emojis","emotion,face,reaction,sticker"
"emoji-sing-right","Emojis","emotion,face,reaction,sticker"
"emoji-sing-right-note","Emojis","emotion,face,reaction,sticker"
"emoji-surprise","Emojis","emotion,face,reaction,sticker"
"emoji-surprise-alt","Emojis","emotion,face,reaction,sticker"
"emoji-talking-angry","Emojis","emotion,face,reaction,sticker"
"emoji-talking-happy","Emojis","emotion,face,reaction,sticker"
"emoji-think-left","Emojis","emotion,face,reaction,sticker"
"emoji-think-right","Emojis","emotion,face,reaction,sticker"
"empty-page","Docs","document,paper,file,site"
"energy-usage-window","System","browser,os,consuption,economy,computer,settings,desktop"
"enlarge","Photos and Videos","media,image,camera,record"
"erase","Actions","ui,button,control,interface"
"ethereum-circle","Finance","round,radio,dot,shape"
"ethereum-rotate-out","Finance","spin,turn,orientation,pivot"
"euro","Finance","money,payment,banking,budget"
"euro-square","Finance","shape,box,checkbox,region"
"ev-charge","Transport","port,charge,recharge,electricity,vehicle,car,electric,charging"
"ev-charge-alt","Transport","port,charge,recharge,electricity,vehicle,car,electric,charging"
"ev-plug","Transport","port,charge,recharge,electricity,vehicle,car,electric,charging,socket,power,cable,connect"
